bill_id,title,description,date,topic
B1000,Bill Title 0,Description for bill 0,2019-01-01,Immigration
B1001,Bill Title 1,Description for bill 1,2019-01-31,Immigration
B1002,Bill Title 2,Description for bill 2,2019-03-02,Immigration
B1003,Bill Title 3,Description for bill 3,2019-04-01,Immigration
B1004,Bill Title 4,Description for bill 4,2019-05-01,Immigration
B1005,Bill Title 5,Description for bill 5,2019-05-31,Healthcare
B1006,Bill Title 6,Description for bill 6,2019-06-30,Defense
B1007,Bill Title 7,Description for bill 7,2019-07-30,Healthcare
B1008,Bill Title 8,Description for bill 8,2019-08-29,Environment
B1009,Bill Title 9,Description for bill 9,2019-09-28,Immigration
B1010,Bill Title 10,Description for bill 10,2019-10-28,Immigration
B1011,Bill Title 11,Description for bill 11,2019-11-27,Economy
B1012,Bill Title 12,Description for bill 12,2019-12-27,Environment
B1013,Bill Title 13,Description for bill 13,2020-01-26,Education
B1014,Bill Title 14,Description for bill 14,2020-02-25,Immigration
B1015,Bill Title 15,Description for bill 15,2020-03-26,Environment
B1016,Bill Title 16,Description for bill 16,2020-04-25,Environment
B1017,Bill Title 17,Description for bill 17,2020-05-25,Economy
B1018,Bill Title 18,Description for bill 18,2020-06-24,Healthcare
B1019,Bill Title 19,Description for bill 19,2020-07-24,Healthcare
B1020,Bill Title 20,Description for bill 20,2020-08-23,Environment
B1021,Bill Title 21,Description for bill 21,2020-09-22,Environment
B1022,Bill Title 22,Description for bill 22,2020-10-22,Education
B1023,Bill Title 23,Description for bill 23,2020-11-21,Immigration
B1024,Bill Title 24,Description for bill 24,2020-12-21,Economy
B1025,Bill Title 25,Description for bill 25,2021-01-20,Education
B1026,Bill Title 26,Description for bill 26,2021-02-19,Economy
B1027,Bill Title 27,Description for bill 27,2021-03-21,Economy
B1028,Bill Title 28,Description for bill 28,2021-04-20,Environment
B1029,Bill Title 29,Description for bill 29,2021-05-20,Economy
B1030,Bill Title 30,Description for bill 30,2021-06-19,Healthcare
B1031,Bill Title 31,Description for bill 31,2021-07-19,Economy
B1032,Bill Title 32,Description for bill 32,2021-08-18,Healthcare
B1033,Bill Title 33,Description for bill 33,2021-09-17,Healthcare
B1034,Bill Title 34,Description for bill 34,2021-10-17,Healthcare
B1035,Bill Title 35,Description for bill 35,2021-11-16,Immigration
B1036,Bill Title 36,Description for bill 36,2021-12-16,Environment
B1037,Bill Title 37,Description for bill 37,2022-01-15,Defense
B1038,Bill Title 38,Description for bill 38,2022-02-14,Defense
B1039,Bill Title 39,Description for bill 39,2022-03-16,Immigration
B1040,Bill Title 40,Description for bill 40,2022-04-15,Economy
B1041,Bill Title 41,Description for bill 41,2022-05-15,Immigration
B1042,Bill Title 42,Description for bill 42,2022-06-14,Defense
B1043,Bill Title 43,Description for bill 43,2022-07-14,Healthcare
B1044,Bill Title 44,Description for bill 44,2022-08-13,Immigration
B1045,Bill Title 45,Description for bill 45,2022-09-12,Economy
B1046,Bill Title 46,Description for bill 46,2022-10-12,Healthcare
B1047,Bill Title 47,Description for bill 47,2022-11-11,Immigration
B1048,Bill Title 48,Description for bill 48,2022-12-11,Education
B1049,Bill Title 49,Description for bill 49,2023-01-10,Defense
B1050,Bill Title 50,Description for bill 50,2023-02-09,Economy
B1051,Bill Title 51,Description for bill 51,2023-03-11,Environment
B1052,Bill Title 52,Description for bill 52,2023-04-10,Education
B1053,Bill Title 53,Description for bill 53,2023-05-10,Healthcare
B1054,Bill Title 54,Description for bill 54,2023-06-09,Education
B1055,Bill Title 55,Description for bill 55,2023-07-09,Immigration
B1056,Bill Title 56,Description for bill 56,2023-08-08,Defense
B1057,Bill Title 57,Description for bill 57,2023-09-07,Environment
B1058,Bill Title 58,Description for bill 58,2023-10-07,Defense
B1059,Bill Title 59,Description for bill 59,2023-11-06,Education
B1060,Bill Title 60,Description for bill 60,2023-12-06,Defense
B1061,Bill Title 61,Description for bill 61,2024-01-05,Healthcare
B1062,Bill Title 62,Description for bill 62,2024-02-04,Immigration
B1063,Bill Title 63,Description for bill 63,2024-03-05,Defense
B1064,Bill Title 64,Description for bill 64,2024-04-04,Healthcare
B1065,Bill Title 65,Description for bill 65,2024-05-04,Environment
B1066,Bill Title 66,Description for bill 66,2024-06-03,Healthcare
B1067,Bill Title 67,Description for bill 67,2024-07-03,Healthcare
B1068,Bill Title 68,Description for bill 68,2024-08-02,Education
B1069,Bill Title 69,Description for bill 69,2024-09-01,Education
B1070,Bill Title 70,Description for bill 70,2024-10-01,Defense
